timestamp,suhu,getaran
2026-05-05 10:10:00,76.47666666666667,0.36833333333333335
2026-05-05 10:20:00,79.845,0.20833333333333334
2026-05-05 10:30:00,85.91333333333334,0.27666666666666667
2026-05-05 10:40:00,72.19333333333333,0.33166666666666667
2026-05-05 10:50:00,80.41833333333334,0.36000000000000004
2026-05-05 11:00:00,84.29894736842105,0.2694736842105263
2026-05-05 11:10:00,,
2026-05-05 11:20:00,,
2026-05-05 11:30:00,,
2026-05-05 11:40:00,,
2026-05-05 11:50:00,,
2026-05-05 12:00:00,,
2026-05-05 12:10:00,,
2026-05-05 12:20:00,,
2026-05-05 12:30:00,,
2026-05-05 12:40:00,,
2026-05-05 12:50:00,,
2026-05-05 13:00:00,,
2026-05-05 13:10:00,,
2026-05-05 13:20:00,,
2026-05-05 13:30:00,,
2026-05-05 13:40:00,,
2026-05-05 13:50:00,,
2026-05-05 14:00:00,,
2026-05-05 14:10:00,,
2026-05-05 14:20:00,,
2026-05-05 14:30:00,,
2026-05-05 14:40:00,,
2026-05-05 14:50:00,,
2026-05-05 15:00:00,,
2026-05-05 15:10:00,,
2026-05-05 15:20:00,,
2026-05-05 15:30:00,,
2026-05-05 15:40:00,,
2026-05-05 15:50:00,,
2026-05-05 16:00:00,,
2026-05-05 16:10:00,,
2026-05-05 16:20:00,,
2026-05-05 16:30:00,,
2026-05-05 16:40:00,,
2026-05-05 16:50:00,,
2026-05-05 17:00:00,,
2026-05-05 17:10:00,,
2026-05-05 17:20:00,,
2026-05-05 17:30:00,,
2026-05-05 17:40:00,,
2026-05-05 17:50:00,,
2026-05-05 18:00:00,,
2026-05-05 18:10:00,,
2026-05-05 18:20:00,,
2026-05-05 18:30:00,,
2026-05-05 18:40:00,,
2026-05-05 18:50:00,,
2026-05-05 19:00:00,,
2026-05-05 19:10:00,,
2026-05-05 19:20:00,,
2026-05-05 19:30:00,,
2026-05-05 19:40:00,,
2026-05-05 19:50:00,,
2026-05-05 20:00:00,,
2026-05-05 20:10:00,,
2026-05-05 20:20:00,,
2026-05-05 20:30:00,,
2026-05-05 20:40:00,,
2026-05-05 20:50:00,,
2026-05-05 21:00:00,,
2026-05-05 21:10:00,,
2026-05-05 21:20:00,,
2026-05-05 21:30:00,,
2026-05-05 21:40:00,,
2026-05-05 21:50:00,,
2026-05-05 22:00:00,,
2026-05-05 22:10:00,,
2026-05-05 22:20:00,,
2026-05-05 22:30:00,,
2026-05-05 22:40:00,,
2026-05-05 22:50:00,,
2026-05-05 23:00:00,,
2026-05-05 23:10:00,,
2026-05-05 23:20:00,,
2026-05-05 23:30:00,,
2026-05-05 23:40:00,,
2026-05-05 23:50:00,,
2026-05-06 00:00:00,,
2026-05-06 00:10:00,,
2026-05-06 00:20:00,88.83000000000001,0.31
2026-05-06 00:30:00,78.105,0.275
2026-05-06 00:40:00,70.745,0.385
2026-05-06 00:50:00,84.33500000000001,0.345
2026-05-06 01:00:00,66.67,0.245
